timestamp,event_type,task_id,gpu_id,npts
2000,START,132,4,11200626
2000,START,64,4,8505899
2000,START,59,8,12546482
2000,START,23,8,7830895
2000,START,125,12,11160080
2000,START,68,12,9112263
2000,START,126,16,9869923
2000,START,5,16,8918796
24000,START,43,20,11034601
24000,START,58,20,9394329
114000,START,88,24,10707546
114000,START,85,24,9168905
120000,START,142,28,11494832
120000,START,19,28,8845199
140000,FINISH,23,8,7830895
147000,FINISH,64,4,8505899
160000,FINISH,68,12,9112263
164000,FINISH,5,16,8918796
179000,FINISH,126,16,9869923
179000,START,134,16,11273100
179000,START,105,16,9128248
185000,FINISH,58,20,9394329
192000,START,129,32,12547717
192000,START,56,32,7904790
193000,FINISH,132,4,11200626
193000,START,123,4,11619425
193000,START,20,4,8145837
198000,FINISH,125,12,11160080
198000,START,90,12,12547588
198000,START,4,12,7503288
213000,FINISH,43,20,11034601
213000,START,122,20,12537303
213000,START,65,20,5389737
215000,FINISH,59,8,12546482
215000,START,145,8,8612527
215000,START,124,8,10376612
268000,FINISH,85,24,9168905
272000,INTERRUPT,145,8,8612527
272000,INTERRUPT,124,8,10376612
273000,FINISH,19,28,8845199
302000,FINISH,88,24,10707546
302000,START,124,24,10376612
302000,START,145,24,8612527
305000,FINISH,65,20,5389737
327000,FINISH,142,28,11494832
327000,START,18,28,12089929
327000,START,101,28,8108685
330000,START,40,8,10950623
330000,START,28,8,8253909
332000,FINISH,56,32,7904790
332000,FINISH,4,12,7503288
333000,FINISH,20,4,8145837
335000,FINISH,90,12,12547588
335000,START,50,12,8159611
335000,START,119,12,11126549
336000,FINISH,105,16,9128248
381000,FINISH,134,16,11273100
381000,START,121,16,9666046
381000,START,60,16,10261200
401000,FINISH,123,4,11619425
401000,START,51,4,12546842
401000,START,87,4,7008169
419000,FINISH,129,32,12547717
419000,START,11,32,11607666
419000,START,114,32,8799665
440000,FINISH,122,20,12537303
440000,START,97,20,10151058
440000,START,62,20,10289301
456000,FINISH,145,24,8612527
469000,FINISH,28,8,8253909
472000,FINISH,101,28,8108685
474000,INTERRUPT,97,20,10151058
474000,INTERRUPT,62,20,10289301
478000,FINISH,50,12,8159611
487000,FINISH,124,24,10376612
487000,START,62,24,10289301
487000,START,97,24,10151058
519000,FINISH,40,8,10950623
519000,START,12,8,9162886
519000,START,150,8,10569581
521000,FINISH,87,4,7008169
528000,FINISH,119,12,11126549
528000,START,92,12,12035631
528000,START,104,12,8010020
533000,FINISH,18,28,12089929
533000,START,44,28,11059932
533000,START,112,28,8112870
534000,START,107,20,11412193
534000,START,94,20,8006598
553000,FINISH,121,16,9666046
553000,FINISH,60,16,10261200
553000,START,25,16,10599782
553000,START,106,16,9138707
568000,FINISH,114,32,8799665
614000,FINISH,51,4,12546842
614000,START,81,4,12542848
619000,FINISH,11,32,11607666
619000,START,42,32,12542987
665000,INTERRUPT,42,32,12542987
665000,FINISH,104,12,8010020
667000,FINISH,62,24,10289301
670000,FINISH,112,28,8112870
671000,FINISH,97,24,10151058
671000,START,42,24,12542987
676000,FINISH,94,20,8006598
679000,FINISH,12,8,9162886
699000,FINISH,150,8,10569581
699000,START,66,8,9337895
699000,START,111,8,9482563
710000,FINISH,106,16,9138707
719000,FINISH,44,28,11059932
719000,START,48,28,8531928
719000,START,14,28,8881830
729000,FINISH,107,20,11412193
729000,START,144,20,10794100
729000,START,6,20,8672705
732000,FINISH,25,16,10599782
732000,START,71,16,8686886
732000,START,159,16,10920575
743000,FINISH,92,12,12035631
743000,START,78,12,12552648
833000,FINISH,81,4,12542848
833000,START,89,4,12548092
857000,FINISH,66,8,9337895
865000,FINISH,111,8,9482563
865000,START,15,8,9818475
865000,START,61,8,10424581
869000,FINISH,14,28,8881830
872000,FINISH,48,28,8531928
872000,START,73,28,11582976
872000,START,137,28,7991280
879000,FINISH,6,20,8672705
