timestamp,event_type,gpu_id
0,add,node1
0,add,node2
0,add,node3
0,add,node4
0,add,node5
0,add,node6
0,add,node7
0,add,node8
0,add,node9
0,add,node10
0,add,node11
0,add,node12
0,add,node13
0,add,node14
0,add,node15
0,add,node16
0,add,node17
0,add,node18
254484,remove,node3
540000,add,node3
675229,remove,node17
840000,add,node17
900000,add,node19
900000,add,node20
900000,add,node21
900000,add,node22
900000,add,node23
900000,add,node24
900000,add,node25
900000,add,node26
900000,add,node27
1080000,add,node28
1080000,add,node29
1080000,add,node30
1080000,add,node31
1140000,add,node32
1140000,add,node33
1260000,add,node34
1260000,add,node35
1330540,remove,node4
1408865,remove,node13
1469918,remove,node10
1560000,add,node4
1560000,add,node10
1680000,add,node13
1680000,add,node36
1740000,add,node37
1796643,remove,node16
1856276,remove,node31
1918659,remove,node17
1931661,remove,node10
1980000,add,node10
1980000,add,node16
1980000,add,node17
1980000,add,node31
2160000,add,node38
2380656,remove,node33
2397654,remove,node7
2536242,remove,node34
2580000,add,node7
2580000,add,node33
2580000,add,node34
2590857,remove,node38
2629081,remove,node13
2782700,remove,node12
3060000,add,node12
3121514,remove,node37
3360000,add,node13
3360000,add,node37
3360000,add,node38
3727308,remove,node26
3900000,add,node26
3900000,add,node39
4080000,add,node40
4111095,remove,node13
4140612,remove,node25
4384338,remove,node1
4488408,remove,node40
4815497,remove,node11
5012662,remove,node2
5100000,add,node1
5331513,remove,node19
5427393,remove,node18
5473645,remove,node39
5520000,add,node2
5572406,remove,node22
5648577,remove,node2
5708733,remove,node29
5782434,remove,node17
5887460,remove,node36
5956433,remove,node16
6001317,remove,node4
6012476,remove,node20
6023857,remove,node34
6300000,add,node2
6606755,remove,node5
6840000,add,node4
6840000,add,node5
7080000,add,node11
7147225,remove,node3
7200000,add,node3
7220676,remove,node9
7865462,remove,node31
8130856,remove,node35
8215226,remove,node3
8363662,remove,node21
8460000,add,node3
8509410,remove,node14
8673656,remove,node33
8951063,remove,node7
9274356,remove,node12
9538647,remove,node5
9540000,add,node5
9540000,add,node7
9742914,remove,node6
9943400,remove,node24
9998340,remove,node38
10140000,add,node6
10575493,remove,node1
10719579,remove,node28
10740000,add,node1
11085337,remove,node2
11280000,add,node2
11280000,add,node9
11280000,add,node12
11400000,add,node13
11400000,add,node14
11580000,add,node16
11844899,remove,node37
11848793,remove,node8
12288076,remove,node1
12647471,remove,node5
12853204,remove,node32
13090375,remove,node16
13440000,add,node1
13597636,remove,node4
13691206,remove,node23
13800000,add,node4
13860000,add,node5
13860000,add,node8
14101804,remove,node12
14208318,remove,node2
14394088,remove,node30
14524891,remove,node13
14663770,remove,node5
14760000,add,node2
14760000,add,node5
14843524,remove,node9
15120000,add,node9
15240000,add,node12
15240000,add,node13
15240000,add,node16
15600000,add,node17
15600000,add,node18
15600000,add,node19
15600000,add,node20
15627966,remove,node12
15900288,remove,node3
16115309,remove,node18
16478053,remove,node27
16824320,remove,node2
16860000,add,node2
16860000,add,node3
16971267,remove,node15
17100000,add,node12
17100000,add,node15
17225100,remove,node10
17386911,remove,node16
17582419,remove,node14
17700000,add,node10
17700000,add,node14
17700000,add,node16
17760000,add,node18
18183372,remove,node1
18660000,add,node1
18660000,add,node21
18660000,add,node22
18660000,add,node23
18720000,add,node24
18780000,remove,node24
18819003,remove,node15
18840000,add,node15
18840000,add,node24
18840000,add,node25
18840000,add,node27
18840000,add,node28
18908198,remove,node2
19020000,add,node2
19020000,add,node29
19560000,add,node30
19598940,remove,node6
19800000,add,node6
19860000,add,node31
19860000,add,node32
19860000,add,node33
19923533,remove,node23
19980000,add,node23
19992737,remove,node20
20044050,remove,node29
20061565,remove,node14
20580000,add,node14
20580000,add,node20
20892524,remove,node8
21000000,add,node8
21000000,add,node29
21134730,remove,node20
21292069,remove,node28
21427726,remove,node12
21540000,add,node12
21939707,remove,node22
22363000,remove,node26
22380000,add,node20
22575276,remove,node27
22808744,remove,node32
22887354,remove,node3
23202620,remove,node16
23315152,remove,node33
23700000,add,node3
23940000,add,node16
23940000,add,node22
24120000,add,node26
24120000,add,node27
24199794,remove,node7
24266734,remove,node25
24345909,remove,node31
24395172,remove,node14
24505187,remove,node11
24698635,remove,node8
25020000,add,node7
25341509,remove,node1
25434136,remove,node9
25550856,remove,node26
25590258,remove,node4
25599109,remove,node6
25637478,remove,node30
26040000,add,node1
26040000,add,node4
26100000,add,node6
26220000,add,node8
26220000,add,node9
26220000,add,node11
