timestamp,event_type,gpu_id,availability_duration
0,add,node1,596.193
0,add,node2,3075.186
0,add,node3,1482.207
0,add,node4,1072.773
0,add,node5,242.825
0,add,node6,242.789
0,add,node7,96.797
0,add,node8,2154.224
0,add,node9,1079.138
0,add,node10,1396.925
0,add,node11,60.0
0,add,node12,3516.12
0,add,node13,1940.228
0,add,node14,328.272
0,add,node15,281.67
0,add,node16,284.063
0,add,node17,474.999
0,add,node18,895.415
60000,add,node11,60.0
60000,remove,node11,60.0
96797,remove,node7,96.797
120000,add,node7,96.797
180000,add,node19,308.828
180000,add,node20,872.108
180000,add,node21,1056.744
240000,add,node22,264.605
240000,add,node23,107.326
242789,remove,node6,242.789
242825,remove,node5,242.825
281670,remove,node15,281.67
284063,remove,node16,284.063
328272,remove,node14,328.272
347326,remove,node23,107.326
474999,remove,node17,474.999
480000,add,node5,242.825
480000,add,node6,242.789
480000,add,node14,328.272
480000,add,node15,281.67
480000,add,node16,284.063
480000,add,node17,474.999
488828,remove,node19,308.828
504605,remove,node22,264.605
540000,add,node19,308.828
596193,remove,node1,596.193
600000,add,node1,596.193
600000,add,node22,264.605
636036,remove,node14,328.272
660000,add,node14,328.272
672198,remove,node17,474.999
701601,remove,node7,96.797
780000,add,node7,96.797
780000,add,node17,474.999
780000,add,node23,107.326
780000,add,node24,142.39
780000,add,node25,303.19
840000,add,node26,621.76
895415,remove,node18,895.415
900000,add,node18,895.415
900000,add,node27,436.703
900000,add,node28,936.176
922390,remove,node24,142.39
955617,remove,node6,242.789
960000,add,node6,242.789
960000,add,node24,142.39
960000,add,node29,1642.786
1020000,add,node30,1847.383
1052108,remove,node20,872.108
1072773,remove,node4,1072.773
1079138,remove,node9,1079.138
1081587,remove,node6,242.789
1083190,remove,node25,303.19
1087452,remove,node1,596.193
1140000,add,node1,596.193
1140000,add,node4,1072.773
1140000,add,node6,242.789
1167372,remove,node11,60.0
1198889,remove,node16,284.063
1200000,add,node9,1079.138
1200000,add,node11,60.0
1200000,add,node16,284.063
1200000,add,node20,872.108
1236744,remove,node21,1056.744
1260000,add,node21,1056.744
1260000,add,node25,303.19
1260000,add,node31,783.032
1260830,remove,node4,1072.773
1305075,remove,node16,284.063
1320000,add,node4,1072.773
1320000,add,node16,284.063
1336703,remove,node27,436.703
1396925,remove,node10,1396.925
1440000,add,node10,1396.925
1440000,add,node27,436.703
1461760,remove,node26,621.76
1464634,remove,node18,895.415
1482207,remove,node3,1482.207
1484977,remove,node22,264.605
1500000,add,node3,1482.207
1560000,add,node3,1482.207
1560000,remove,node3,1482.207
1686233,remove,node20,872.108
1707644,remove,node6,242.789
1719878,remove,node11,60.0
1740000,add,node6,242.789
1798009,remove,node15,281.67
1836176,remove,node28,936.176
1850814,remove,node17,474.999
1860000,add,node11,60.0
1920000,add,node15,281.67
1940228,remove,node13,1940.228
1985221,remove,node11,60.0
2040000,add,node11,60.0
2040000,add,node13,1940.228
2043032,remove,node31,783.032
2100000,add,node17,474.999
2100000,add,node18,895.415
2100000,add,node20,872.108
2100000,add,node22,264.605
2134465,remove,node27,436.703
2154224,remove,node8,2154.224
2160000,add,node8,2154.224
2280000,add,node26,621.76
2280000,add,node27,436.703
2280000,add,node28,936.176
2280000,add,node31,783.032
2291086,remove,node5,242.825
2299853,remove,node16,284.063
2330899,remove,node10,1396.925
2338230,remove,node9,1079.138
2340000,add,node5,242.825
2340000,remove,node26,621.76
2400000,add,node9,1079.138
2400000,add,node10,1396.925
2401908,remove,node6,242.789
2419737,remove,node3,1482.207
2437851,remove,node21,1056.744
2598016,remove,node22,264.605
2602786,remove,node29,1642.786
2623376,remove,node31,783.032
2700000,add,node3,1482.207
2700000,add,node6,242.789
2700000,add,node16,284.063
2700000,add,node21,1056.744
2700000,add,node22,264.605
2700000,add,node26,621.76
2760000,add,node29,1642.786
2764207,remove,node22,264.605
2778601,remove,node1,596.193
2853633,remove,node8,2154.224
2867383,remove,node30,1847.383
2914575,remove,node4,1072.773
2940000,add,node1,596.193
2955152,remove,node28,936.176
2976757,remove,node10,1396.925
3000000,add,node4,1072.773
3000000,add,node8,2154.224
3000000,add,node10,1396.925
3000000,add,node22,264.605
3000000,add,node28,936.176
3000000,add,node30,1847.383
3000000,add,node31,783.032
3028454,remove,node17,474.999
3058286,remove,node19,308.828
3060000,add,node17,474.999
3060000,add,node19,308.828
3075186,remove,node2,3075.186
3089909,remove,node3,1482.207
3120000,add,node2,3075.186
3143064,remove,node21,1056.744
3144477,remove,node27,436.703
3160472,remove,node7,96.797
3166202,remove,node1,596.193
3169420,remove,node16,284.063
3180000,add,node1,596.193
3180000,add,node3,1482.207
3190270,remove,node2,3075.186
3192988,remove,node29,1642.786
3205064,remove,node17,474.999
3240000,add,node1,596.193
3240000,add,node2,3075.186
3240000,remove,node1,596.193
3300000,add,node7,96.797
3300000,add,node16,284.063
3300000,add,node17,474.999
3300000,add,node21,1056.744
3300000,add,node27,436.703
3360000,add,node29,1642.786
3360000,add,node32,965.398
3367601,remove,node22,264.605
3374542,remove,node4,1072.773
3420000,add,node4,1072.773
3435787,remove,node23,107.326
3479487,remove,node17,474.999
3510397,remove,node1,596.193
3515213,remove,node7,96.797
3516120,remove,node12,3516.12
3535360,remove,node6,242.789
3569246,remove,node4,1072.773
3575135,remove,node25,303.19
3584127,remove,node30,1847.383
3600000,add,node1,596.193
3600000,add,node4,1072.773
3600000,add,node6,242.789
3600000,add,node7,96.797
3779723,remove,node9,1079.138
3780000,add,node9,1079.138
3780000,add,node12,3516.12
3780000,add,node17,474.999
3780000,add,node22,264.605
3801298,remove,node26,621.76
3827495,remove,node13,1940.228
3837328,remove,node16,284.063
3906264,remove,node18,895.415
3915908,remove,node17,474.999
3960000,add,node13,1940.228
3960000,add,node16,284.063
4020000,remove,node13,1940.228
4031233,remove,node22,264.605
4047417,remove,node3,1482.207
4080000,add,node3,1482.207
4121677,remove,node16,284.063
4133818,remove,node4,1072.773
4140000,add,node4,1072.773
4140000,add,node13,1940.228
4151443,remove,node6,242.789
4163101,remove,node31,783.032
4166594,remove,node14,328.272
4232271,remove,node11,60.0
4260000,add,node6,242.789
4279992,remove,node8,2154.224
4325398,remove,node32,965.398
4330002,remove,node3,1482.207
4380000,add,node3,1482.207
4380000,add,node8,2154.224
4440000,add,node11,60.0
4468291,remove,node28,936.176
4486732,remove,node13,1940.228
4491749,remove,node20,872.108
4500000,add,node13,1940.228
4560000,add,node14,328.272
4560000,add,node16,284.063
4560000,add,node17,474.999
4560000,add,node18,895.415
4579646,remove,node2,3075.186
4598014,remove,node10,1396.925
4620000,add,node2,3075.186
4672578,remove,node15,281.67
4680000,add,node10,1396.925
4740000,add,node15,281.67
4740000,add,node20,872.108
4740000,add,node22,264.605
4740000,add,node23,107.326
4740000,add,node25,303.19
4765324,remove,node1,596.193
4770520,remove,node6,242.789
4800000,add,node1,596.193
4800000,add,node6,242.789
4800000,add,node23,107.326
4800000,add,node26,621.76
4800000,add,node28,936.176
4800000,add,node30,1847.383
4800000,remove,node23,107.326
4860000,add,node31,783.032
4860000,add,node32,965.398
4920000,add,node33,1115.796
4970566,remove,node12,3516.12
5016723,remove,node19,308.828
5024007,remove,node11,60.0
5060047,remove,node7,96.797
5202484,remove,node24,142.39
5216631,remove,node29,1642.786
5258806,remove,node23,107.326
5282237,remove,node5,242.825
5296196,remove,node30,1847.383
5328358,remove,node22,264.605
5340000,add,node5,242.825
5359298,remove,node4,1072.773
5406904,remove,node17,474.999
5415245,remove,node26,621.76
5456143,remove,node9,1079.138
5520000,add,node4,1072.773
